Edad,Puntaje Edad,Saturación,Puntaje Saturación,Frecuencia Cardiaca,Puntaje FC,PA Sístole,Puntaje PA Sístole,PA Diástole,Puntaje PA Diástole,Temperatura,Puntaje Temperatura,Puntaje Total,Prioridad
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipertensión (>=140 mmHg),5,Hipotensión (<60 mmHg),2,Fiebre (>=38°C y <39.4°C),4,24,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipertensión (>=140 mmHg),5,Hipotensión (<60 mmHg),2,Fiebre alta (>=39.4°C),6,26,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Prehipertensión (>=120 y <140 mmHg),3,Hipertensión (>=90 mmHg),5,Hipotermia (<36°C),4,25,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Prehipertensión (>=120 y <140 mmHg),3,Hipertensión (>=90 mmHg),5,Normotermina (>=36 y <=37°C),0,21,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Prehipertensión (>=120 y <140 mmHg),3,Hipertensión (>=90 mmHg),5,Febrícula (>37 y <38°C),2,23,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Prehipertensión (>=120 y <140 mmHg),3,Hipertensión (>=90 mmHg),5,Fiebre (>=38°C y <39.4°C),4,25,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Prehipertensión (>=120 y <140 mmHg),3,Hipertensión (>=90 mmHg),5,Fiebre alta (>=39.4°C),6,27,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Prehipertensión (>=120 y <140 mmHg),3,Prehipertensión (>=80 y <90 mmHg),3,Hipotermia (<36°C),4,23,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Prehipertensión (>=120 y <140 mmHg),3,Prehipertensión (>=80 y <90 mmHg),3,Normotermina (>=36 y <=37°C),0,19,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Prehipertensión (>=120 y <140 mmHg),3,Prehipertensión (>=80 y <90 mmHg),3,Febrícula (>37 y <38°C),2,21,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Prehipertensión (>=120 y <140 mmHg),3,Prehipertensión (>=80 y <90 mmHg),3,Fiebre (>=38°C y <39.4°C),4,23,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Prehipertensión (>=120 y <140 mmHg),3,Prehipertensión (>=80 y <90 mmHg),3,Fiebre alta (>=39.4°C),6,25,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Prehipertensión (>=120 y <140 mmHg),3,Normal (>=60 y <80 mmHg),2,Hipotermia (<36°C),4,22,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Prehipertensión (>=120 y <140 mmHg),3,Normal (>=60 y <80 mmHg),2,Normotermina (>=36 y <=37°C),0,18,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Prehipertensión (>=120 y <140 mmHg),3,Normal (>=60 y <80 mmHg),2,Febrícula (>37 y <38°C),2,20,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Prehipertensión (>=120 y <140 mmHg),3,Normal (>=60 y <80 mmHg),2,Fiebre (>=38°C y <39.4°C),4,22,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Prehipertensión (>=120 y <140 mmHg),3,Normal (>=60 y <80 mmHg),2,Fiebre alta (>=39.4°C),6,24,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Prehipertensión (>=120 y <140 mmHg),3,Hipotensión (<60 mmHg),2,Hipotermia (<36°C),4,22,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Prehipertensión (>=120 y <140 mmHg),3,Hipotensión (<60 mmHg),2,Normotermina (>=36 y <=37°C),0,18,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Prehipertensión (>=120 y <140 mmHg),3,Hipotensión (<60 mmHg),2,Febrícula (>37 y <38°C),2,20,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Prehipertensión (>=120 y <140 mmHg),3,Hipotensión (<60 mmHg),2,Fiebre (>=38°C y <39.4°C),4,22,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Prehipertensión (>=120 y <140 mmHg),3,Hipotensión (<60 mmHg),2,Fiebre alta (>=39.4°C),6,24,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Normal (>=90 y <120 mmHg),2,Hipertensión (>=90 mmHg),5,Hipotermia (<36°C),4,24,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Normal (>=90 y <120 mmHg),2,Hipertensión (>=90 mmHg),5,Normotermina (>=36 y <=37°C),0,20,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Normal (>=90 y <120 mmHg),2,Hipertensión (>=90 mmHg),5,Febrícula (>37 y <38°C),2,22,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Normal (>=90 y <120 mmHg),2,Hipertensión (>=90 mmHg),5,Fiebre (>=38°C y <39.4°C),4,24,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Normal (>=90 y <120 mmHg),2,Hipertensión (>=90 mmHg),5,Fiebre alta (>=39.4°C),6,26,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Normal (>=90 y <120 mmHg),2,Prehipertensión (>=80 y <90 mmHg),3,Hipotermia (<36°C),4,22,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Normal (>=90 y <120 mmHg),2,Prehipertensión (>=80 y <90 mmHg),3,Normotermina (>=36 y <=37°C),0,18,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Normal (>=90 y <120 mmHg),2,Prehipertensión (>=80 y <90 mmHg),3,Febrícula (>37 y <38°C),2,20,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Normal (>=90 y <120 mmHg),2,Prehipertensión (>=80 y <90 mmHg),3,Fiebre (>=38°C y <39.4°C),4,22,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Normal (>=90 y <120 mmHg),2,Prehipertensión (>=80 y <90 mmHg),3,Fiebre alta (>=39.4°C),6,24,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Normal (>=90 y <120 mmHg),2,Normal (>=60 y <80 mmHg),2,Hipotermia (<36°C),4,21,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Normal (>=90 y <120 mmHg),2,Normal (>=60 y <80 mmHg),2,Normotermina (>=36 y <=37°C),0,17,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Normal (>=90 y <120 mmHg),2,Normal (>=60 y <80 mmHg),2,Febrícula (>37 y <38°C),2,19,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Normal (>=90 y <120 mmHg),2,Normal (>=60 y <80 mmHg),2,Fiebre (>=38°C y <39.4°C),4,21,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Normal (>=90 y <120 mmHg),2,Normal (>=60 y <80 mmHg),2,Fiebre alta (>=39.4°C),6,23,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Normal (>=90 y <120 mmHg),2,Hipotensión (<60 mmHg),2,Hipotermia (<36°C),4,21,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Normal (>=90 y <120 mmHg),2,Hipotensión (<60 mmHg),2,Normotermina (>=36 y <=37°C),0,17,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Normal (>=90 y <120 mmHg),2,Hipotensión (<60 mmHg),2,Febrícula (>37 y <38°C),2,19,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Normal (>=90 y <120 mmHg),2,Hipotensión (<60 mmHg),2,Fiebre (>=38°C y <39.4°C),4,21,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Normal (>=90 y <120 mmHg),2,Hipotensión (<60 mmHg),2,Fiebre alta (>=39.4°C),6,23,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipotensión (<90 mmHg),2,Hipertensión (>=90 mmHg),5,Hipotermia (<36°C),4,24,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipotensión (<90 mmHg),2,Hipertensión (>=90 mmHg),5,Normotermina (>=36 y <=37°C),0,20,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipotensión (<90 mmHg),2,Hipertensión (>=90 mmHg),5,Febrícula (>37 y <38°C),2,22,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipotensión (<90 mmHg),2,Hipertensión (>=90 mmHg),5,Fiebre (>=38°C y <39.4°C),4,24,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipotensión (<90 mmHg),2,Hipertensión (>=90 mmHg),5,Fiebre alta (>=39.4°C),6,26,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipotensión (<90 mmHg),2,Prehipertensión (>=80 y <90 mmHg),3,Hipotermia (<36°C),4,22,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipotensión (<90 mmHg),2,Prehipertensión (>=80 y <90 mmHg),3,Normotermina (>=36 y <=37°C),0,18,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipotensión (<90 mmHg),2,Prehipertensión (>=80 y <90 mmHg),3,Febrícula (>37 y <38°C),2,20,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipotensión (<90 mmHg),2,Prehipertensión (>=80 y <90 mmHg),3,Fiebre (>=38°C y <39.4°C),4,22,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipotensión (<90 mmHg),2,Prehipertensión (>=80 y <90 mmHg),3,Fiebre alta (>=39.4°C),6,24,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipotensión (<90 mmHg),2,Normal (>=60 y <80 mmHg),2,Hipotermia (<36°C),4,21,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipotensión (<90 mmHg),2,Normal (>=60 y <80 mmHg),2,Normotermina (>=36 y <=37°C),0,17,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipotensión (<90 mmHg),2,Normal (>=60 y <80 mmHg),2,Febrícula (>37 y <38°C),2,19,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipotensión (<90 mmHg),2,Normal (>=60 y <80 mmHg),2,Fiebre (>=38°C y <39.4°C),4,21,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipotensión (<90 mmHg),2,Normal (>=60 y <80 mmHg),2,Fiebre alta (>=39.4°C),6,23,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipotensión (<90 mmHg),2,Hipotensión (<60 mmHg),2,Hipotermia (<36°C),4,21,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipotensión (<90 mmHg),2,Hipotensión (<60 mmHg),2,Normotermina (>=36 y <=37°C),0,17,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipotensión (<90 mmHg),2,Hipotensión (<60 mmHg),2,Febrícula (>37 y <38°C),2,19,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipotensión (<90 mmHg),2,Hipotensión (<60 mmHg),2,Fiebre (>=38°C y <39.4°C),4,21,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipotensión (<90 mmHg),2,Hipotensión (<60 mmHg),2,Fiebre alta (>=39.4°C),6,23,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Hipertensión (>=140 mmHg),5,Hipertensión (>=90 mmHg),5,Hipotermia (<36°C),4,18,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Hipertensión (>=140 mmHg),5,Hipertensión (>=90 mmHg),5,Normotermina (>=36 y <=37°C),0,14,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Hipertensión (>=140 mmHg),5,Hipertensión (>=90 mmHg),5,Febrícula (>37 y <38°C),2,16,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Hipertensión (>=140 mmHg),5,Hipertensión (>=90 mmHg),5,Fiebre (>=38°C y <39.4°C),4,18,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Hipertensión (>=140 mmHg),5,Hipertensión (>=90 mmHg),5,Fiebre alta (>=39.4°C),6,20,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Hipertensión (>=140 mmHg),5,Prehipertensión (>=80 y <90 mmHg),3,Hipotermia (<36°C),4,16,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Hipertensión (>=140 mmHg),5,Prehipertensión (>=80 y <90 mmHg),3,Normotermina (>=36 y <=37°C),0,12,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Hipertensión (>=140 mmHg),5,Prehipertensión (>=80 y <90 mmHg),3,Febrícula (>37 y <38°C),2,14,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Hipertensión (>=140 mmHg),5,Prehipertensión (>=80 y <90 mmHg),3,Fiebre (>=38°C y <39.4°C),4,16,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Hipertensión (>=140 mmHg),5,Prehipertensión (>=80 y <90 mmHg),3,Fiebre alta (>=39.4°C),6,18,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Hipertensión (>=140 mmHg),5,Normal (>=60 y <80 mmHg),2,Hipotermia (<36°C),4,15,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Hipertensión (>=140 mmHg),5,Normal (>=60 y <80 mmHg),2,Normotermina (>=36 y <=37°C),0,11,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Hipertensión (>=140 mmHg),5,Normal (>=60 y <80 mmHg),2,Febrícula (>37 y <38°C),2,13,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Hipertensión (>=140 mmHg),5,Normal (>=60 y <80 mmHg),2,Fiebre (>=38°C y <39.4°C),4,15,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Hipertensión (>=140 mmHg),5,Normal (>=60 y <80 mmHg),2,Fiebre alta (>=39.4°C),6,17,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Hipertensión (>=140 mmHg),5,Hipotensión (<60 mmHg),2,Hipotermia (<36°C),4,15,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Hipertensión (>=140 mmHg),5,Hipotensión (<60 mmHg),2,Normotermina (>=36 y <=37°C),0,11,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Hipertensión (>=140 mmHg),5,Hipotensión (<60 mmHg),2,Febrícula (>37 y <38°C),2,13,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Hipertensión (>=140 mmHg),5,Hipotensión (<60 mmHg),2,Fiebre (>=38°C y <39.4°C),4,15,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Hipertensión (>=140 mmHg),5,Hipotensión (<60 mmHg),2,Fiebre alta (>=39.4°C),6,17,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Prehipertensión (>=120 y <140 mmHg),3,Hipertensión (>=90 mmHg),5,Hipotermia (<36°C),4,16,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Prehipertensión (>=120 y <140 mmHg),3,Hipertensión (>=90 mmHg),5,Normotermina (>=36 y <=37°C),0,12,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Prehipertensión (>=120 y <140 mmHg),3,Hipertensión (>=90 mmHg),5,Febrícula (>37 y <38°C),2,14,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Prehipertensión (>=120 y <140 mmHg),3,Hipertensión (>=90 mmHg),5,Fiebre (>=38°C y <39.4°C),4,16,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Prehipertensión (>=120 y <140 mmHg),3,Hipertensión (>=90 mmHg),5,Fiebre alta (>=39.4°C),6,18,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Prehipertensión (>=120 y <140 mmHg),3,Prehipertensión (>=80 y <90 mmHg),3,Hipotermia (<36°C),4,14,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Prehipertensión (>=120 y <140 mmHg),3,Prehipertensión (>=80 y <90 mmHg),3,Normotermina (>=36 y <=37°C),0,10,V
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Prehipertensión (>=120 y <140 mmHg),3,Prehipertensión (>=80 y <90 mmHg),3,Febrícula (>37 y <38°C),2,12,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Prehipertensión (>=120 y <140 mmHg),3,Prehipertensión (>=80 y <90 mmHg),3,Fiebre (>=38°C y <39.4°C),4,14,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Prehipertensión (>=120 y <140 mmHg),3,Prehipertensión (>=80 y <90 mmHg),3,Fiebre alta (>=39.4°C),6,16,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Prehipertensión (>=120 y <140 mmHg),3,Normal (>=60 y <80 mmHg),2,Hipotermia (<36°C),4,13,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Prehipertensión (>=120 y <140 mmHg),3,Normal (>=60 y <80 mmHg),2,Normotermina (>=36 y <=37°C),0,9,V
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Prehipertensión (>=120 y <140 mmHg),3,Normal (>=60 y <80 mmHg),2,Febrícula (>37 y <38°C),2,11,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Prehipertensión (>=120 y <140 mmHg),3,Normal (>=60 y <80 mmHg),2,Fiebre (>=38°C y <39.4°C),4,13,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Prehipertensión (>=120 y <140 mmHg),3,Normal (>=60 y <80 mmHg),2,Fiebre alta (>=39.4°C),6,15,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Prehipertensión (>=120 y <140 mmHg),3,Hipotensión (<60 mmHg),2,Hipotermia (<36°C),4,13,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Prehipertensión (>=120 y <140 mmHg),3,Hipotensión (<60 mmHg),2,Normotermina (>=36 y <=37°C),0,9,V
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Prehipertensión (>=120 y <140 mmHg),3,Hipotensión (<60 mmHg),2,Febrícula (>37 y <38°C),2,11,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Prehipertensión (>=120 y <140 mmHg),3,Hipotensión (<60 mmHg),2,Fiebre (>=38°C y <39.4°C),4,13,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Prehipertensión (>=120 y <140 mmHg),3,Hipotensión (<60 mmHg),2,Fiebre alta (>=39.4°C),6,15,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Normal (>=90 y <120 mmHg),2,Hipertensión (>=90 mmHg),5,Hipotermia (<36°C),4,15,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Normal (>=90 y <120 mmHg),2,Hipertensión (>=90 mmHg),5,Normotermina (>=36 y <=37°C),0,11,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Normal (>=90 y <120 mmHg),2,Hipertensión (>=90 mmHg),5,Febrícula (>37 y <38°C),2,13,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Normal (>=90 y <120 mmHg),2,Hipertensión (>=90 mmHg),5,Fiebre (>=38°C y <39.4°C),4,15,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Normal (>=90 y <120 mmHg),2,Hipertensión (>=90 mmHg),5,Fiebre alta (>=39.4°C),6,17,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Normal (>=90 y <120 mmHg),2,Prehipertensión (>=80 y <90 mmHg),3,Hipotermia (<36°C),4,13,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Normal (>=90 y <120 mmHg),2,Prehipertensión (>=80 y <90 mmHg),3,Normotermina (>=36 y <=37°C),0,9,V
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Normal (>=90 y <120 mmHg),2,Prehipertensión (>=80 y <90 mmHg),3,Febrícula (>37 y <38°C),2,11,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Normocardia (>=60 y <=100 bpm),0,Normal (>=90 y <120 mmHg),2,Prehipertensión (>=80 y <90 mmHg),3,Fiebre (>=38°C y <39.4°C),4,13,IV
